"project_id","asset_id","epoch_ts","volume_sum","volume_high","volume_low","volume_mean_q","volume_mean_a","volume_mean_g","volume_mean_h","volume_std","coinbase_volume","txn_count","fee_sum","fee_high","fee_low","fee_mean_q","fee_mean_a","fee_mean_g","fee_mean_h","fee_std"
"Bitcoin_BTC","Bitcoin_BTC_BTC","2019-06-01 00:00:00","1199804.409411820000","4666.034826610000","0.000000000000","58.713905415511","3.614543708198","0.055743447409","0.001052176938","58.602628857725","2046.921909140000","331938","159.409554760000","0.204050000000","0.000000000000","0.002256431792","0.000480457507","0.000202501142","0.000077270059","0.002204690379"
"Dash_DASH","Dash_DASH_DASH","2019-06-01 00:00:00","232227.926360560000","5422.582074130000","0.000000000000","98.394159797837","14.394590365125","0.290982435330","0.003733917514","97.338552194290","7113.874853640000","16133","1.290382220000","0.059980000000","0.000000000000","0.000980311127","0.000082780486","0.000006672974","0.000005061184","0.000976841089"
"Ethereum_ETH","Ethereum_ETH_ETH","2019-06-01 00:00:00","1878396.992271676657","60000.000000000000","0.000000000000","80.631355000956","1.954777987349","0.018804346904","0.000000000000","80.607698231139","13586.687500000000","960926","2603.412165980000","0.160000000000","0.000000000000","0.008383115181","0.002709274352","0.001382242905","0.000985881192","0.007933253943"
"Litecoin_LTC","Litecoin_LTC_LTC","2019-06-01 00:00:00","3765854.760883720000","130342.106981050000","0.000097700000","1475.122090302829","142.846214804223","1.465410979843","0.063314964055","1468.217255270965","14416.933154200000","26363","16.933154200000","0.100000000000","0.000000000000","0.003340269220","0.000656654679","0.000102119856","0.000014486493","0.003275151762"
"Zcash_ZEC","Zcash_ZEC_ZEC","2019-06-01 00:00:00","2208586.671271630000","54464.700581250000","0.000000000000","4133.039010820113","600.485772504521","5.388522190290","0.041201246074","4089.740318850096","7125.788831260000","3678","0.788831260000","0.043525000000","0.000000000000","0.001922724060","0.000253806712","0.000060203957","0.000017495580","0.001906205415"
"Bitcoin_BTC","Bitcoin_BTC_BTC","2019-05-31 00:00:00","2049565.242368620000","66693.968879760000","0.000000000000","378.059021619139","6.854802029347","0.105584018977","0.002478927047","377.997504473448","1667.537236300000","298997","205.037236300000","0.165608470000","0.000000000000","0.002634338932","0.000686018590","0.000411927315","0.000249350578","0.002543450756"
"Dash_DASH","Dash_DASH_DASH","2019-05-31 00:00:00","303381.996419860000","5799.999993220000","0.000000000000","123.385888753875","16.215831761177","0.302255124281","0.003969628344","122.318944002459","1725.604796860000","18709","1.426856260000","0.100000000000","0.000000000000","0.001279187877","0.000078597348","0.000006778512","0.000005285052","0.001276806125"
"Ethereum_ETH","Ethereum_ETH_ETH","2019-05-31 00:00:00","3507584.167189389414","50248.000000000000","0.000000000000","119.581118105458","3.995644103094","0.154364256781","0.000000000000","119.514412966558","13752.312500000000","877852","2831.325211000000","0.160000000000","0.000000000000","0.009528979088","0.003225287646","0.001594097711","0.001104556723","0.008966551937"
"Litecoin_LTC","Litecoin_LTC_LTC","2019-05-31 00:00:00","4686872.918864010000","99999.999980100000","0.000028540000","1472.739363698878","148.464408719440","1.899706395136","0.058341983897","1465.260236986651","14670.971973130000","31569","20.971973130000","0.100000000000","0.000000000000","0.003347190864","0.000676886458","0.000105281579","0.000015455715","0.003278087588"
"Zcash_ZEC","Zcash_ZEC_ZEC","2019-05-31 00:00:00","2412881.829778880000","53626.271889950000","0.000000000000","3561.428188814076","619.800110397863","6.465936198863","0.008727143671","3507.531724461769","7025.803801350000","3893","0.803801350000","0.040215000000","0.000000000000","0.001641920561","0.000241309322","0.000057563784","0.000032023852","0.001624335259"
"Bitcoin_BTC","Bitcoin_BTC_BTC","2019-05-30 00:00:00","1224910.873078380000","4599.998552800000","0.000000000000","31.105179790108","3.250186728398","0.070244198901","0.001824279707","30.934948444096","2188.206493170000","376874","188.206493170000","0.172879760000","0.000000000000","0.001979177893","0.000499600475","0.000244650243","0.000055847685","0.001915085960"
"Dash_DASH","Dash_DASH_DASH","2019-05-30 00:00:00","252813.443046660000","6067.116860000000","0.000000000000","114.868296681832","16.046553033745","0.286764479322","0.003816048540","113.745570996965","1697.890075340000","15755","1.671777020000","0.046028640000","0.000000000000","0.001044952517","0.000109920246","0.000008052956","0.000005764978","0.001039189255"
"Ethereum_ETH","Ethereum_ETH_ETH","2019-05-30 00:00:00","3630936.357208703180","99999.999874000000","0.000000000000","154.775889104302","4.070246166445","0.210156839560","0.000000000000","154.722447562111","13275.687500000000","892068","2683.314842280000","0.160000000000","0.000000000000","0.008471215050","0.003007971189","0.001557178181","0.001077339546","0.007919195923"
"Litecoin_LTC","Litecoin_LTC_LTC","2019-05-30 00:00:00","5154793.363217470000","93661.522503610000","0.000018040000","1458.175369805479","149.722424793560","2.298331232123","0.060514066835","1450.489473785251","15075.362852610000","34429","25.362852610000","0.158298000000","0.000000000000","0.004413503918","0.000749781317","0.000102170170","0.000015556278","0.004349414219"
"Zcash_ZEC","Zcash_ZEC_ZEC","2019-05-30 00:00:00","2928019.026040390000","62649.219839050000","0.000000000000","4165.463714951912","648.940386977037","7.768826032860","0.051535468960","4115.059826409505","7051.034790590000","4512","1.034790590000","0.054652720000","0.000000000000","0.001970212052","0.000262105013","0.000058343916","0.000017586926","0.001952947145"
"Bitcoin_BTC","Bitcoin_BTC_BTC","2019-05-29 00:00:00","1426452.615133180000","157457.599308080000","0.000000000000","337.449627507130","3.520757772046","0.059831040587","0.001233157450","337.431676636910","2362.083626450000","405155","187.083626450000","0.172443960000","0.000000000000","0.001794528755","0.000461956552","0.000206276860","0.000048362573","0.001734052197"
